id,timestamp,mac,rssi,mac_pai,snr,distancia
21486,2025-11-29 07:50:22,40:4c:ca:5e:09:2c,-54,null,41,1
21487,2025-11-29 07:52:19,40:4c:ca:5d:f3:b8,-77,40:4c:ca:5e:09:2d,18,1
21488,2025-11-29 07:52:36,40:4c:ca:5d:f3:b8,-77,40:4c:ca:5e:09:2d,18,1
21489,2025-11-29 07:52:46,40:4c:ca:5d:f3:b8,-77,40:4c:ca:5e:09:2d,18,1
21490,2025-11-29 07:55:22,40:4c:ca:5e:09:2c,-56,null,39,1
21491,2025-11-29 07:57:46,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,1
21492,2025-11-29 08:00:22,40:4c:ca:5e:09:2c,-60,null,35,1
21493,2025-11-29 08:02:46,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,1
21494,2025-11-29 08:05:22,40:4c:ca:5e:09:2c,-54,null,41,1
21495,2025-11-29 08:07:46,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,1
21496,2025-11-29 08:10:22,40:4c:ca:5e:09:2c,-57,null,38,1
21497,2025-11-29 08:12:46,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,1
21498,2025-11-29 08:15:22,40:4c:ca:5e:09:2c,-54,null,41,1
21499,2025-11-29 08:17:46,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,1
21500,2025-11-29 08:20:22,40:4c:ca:5e:09:2c,-56,null,39,1
21501,2025-11-29 08:22:46,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,1

21502,2025-11-29 08:25:22,40:4c:ca:5e:09:2c,-57,null,38,2
21503,2025-11-29 08:27:18,40:4c:ca:5e:09:2c,-43,null,52,2
21504,2025-11-29 08:28:19,40:4c:ca:5e:09:2c,-41,null,54,2
21505,2025-11-29 08:30:42,40:4c:ca:5e:09:2c,-56,null,39,2
21506,2025-11-29 08:31:49,40:4c:ca:5d:f3:b8,-82,40:4c:ca:5e:09:2d,13,2
21507,2025-11-29 08:35:41,40:4c:ca:5e:09:2c,-50,null,45,2
21508,2025-11-29 08:36:49,40:4c:ca:5d:f3:b8,-77,40:4c:ca:5e:09:2d,18,2
21509,2025-11-29 08:40:41,40:4c:ca:5e:09:2c,-57,null,38,2
21510,2025-11-29 08:41:49,40:4c:ca:5d:f3:b8,-76,40:4c:ca:5e:09:2d,19,2
21511,2025-11-29 08:45:41,40:4c:ca:5e:09:2c,-50,null,45,2
21512,2025-11-29 08:46:49,40:4c:ca:5d:f3:b8,-76,40:4c:ca:5e:09:2d,19,2
21513,2025-11-29 08:50:42,40:4c:ca:5e:09:2c,-52,null,43,2
21514,2025-11-29 08:51:49,40:4c:ca:5d:f3:b8,-75,40:4c:ca:5e:09:2d,20,2
21515,2025-11-29 08:55:42,40:4c:ca:5e:09:2c,-57,null,38,2
21516,2025-11-29 08:56:49,40:4c:ca:5d:f3:b8,-76,40:4c:ca:5e:09:2d,19,2

21517,2025-11-29 09:00:42,40:4c:ca:5e:09:2c,-51,null,44,3
21518,2025-11-29 09:01:49,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:09:2d,12,3
21519,2025-11-29 09:05:42,40:4c:ca:5e:09:2c,-58,null,37,3
21520,2025-11-29 09:06:49,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:09:2d,12,3
21521,2025-11-29 09:10:42,40:4c:ca:5e:09:2c,-51,null,44,3
21522,2025-11-29 09:11:49,40:4c:ca:5d:f3:b8,-87,40:4c:ca:5e:09:2d,8,3
21523,2025-11-29 09:15:42,40:4c:ca:5e:09:2c,-51,null,44,3
21524,2025-11-29 09:16:49,40:4c:ca:5d:f3:b8,-86,40:4c:ca:5e:09:2d,9,3
21525,2025-11-29 09:20:42,40:4c:ca:5e:09:2c,-57,null,38,3
21526,2025-11-29 09:21:49,40:4c:ca:5d:f3:b8,-86,40:4c:ca:5e:09:2d,9,3
21527,2025-11-29 09:25:42,40:4c:ca:5e:09:2c,-54,null,41,3
21528,2025-11-29 09:26:49,40:4c:ca:5d:f3:b8,-86,40:4c:ca:5e:09:2d,9,3

21529,2025-11-29 09:30:42,40:4c:ca:5e:09:2c,-53,null,42,4
21530,2025-11-29 09:31:49,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,7,4
21531,2025-11-29 09:35:42,40:4c:ca:5e:09:2c,-59,null,36,4
21532,2025-11-29 09:36:49,40:4c:ca:5d:f3:b8,-87,40:4c:ca:5e:09:2d,8,4
21533,2025-11-29 09:40:42,40:4c:ca:5e:09:2c,-53,null,42,4
21534,2025-11-29 09:41:49,40:4c:ca:5d:f3:b8,-86,40:4c:ca:5e:09:2d,9,4
21535,2025-11-29 09:45:42,40:4c:ca:5e:09:2c,-54,null,41,4
21536,2025-11-29 09:46:49,40:4c:ca:5d:f3:b8,-85,40:4c:ca:5e:09:2d,10,4
21537,2025-11-29 09:50:42,40:4c:ca:5e:09:2c,-60,null,35,4
21538,2025-11-29 09:51:49,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,7,4
21539,2025-11-29 09:55:42,40:4c:ca:5e:09:2c,-53,null,42,4
21540,2025-11-29 09:56:49,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,7,4

21541,2025-11-29 10:00:42,40:4c:ca:5e:09:2c,-54,null,41,5
21542,2025-11-29 10:01:50,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,5
21543,2025-11-29 10:05:42,40:4c:ca:5e:09:2c,-54,null,41,5
21544,2025-11-29 10:06:49,40:4c:ca:5d:f3:b8,-77,40:4c:ca:5e:09:2d,18,5
21545,2025-11-29 10:10:42,40:4c:ca:5e:09:2c,-54,null,41,5
21546,2025-11-29 10:11:49,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,5
21547,2025-11-29 10:15:42,40:4c:ca:5e:09:2c,-55,null,40,5
21548,2025-11-29 10:16:49,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,5
21549,2025-11-29 10:20:42,40:4c:ca:5e:09:2c,-56,null,39,5
21550,2025-11-29 10:21:49,40:4c:ca:5d:f3:b8,-78,40:4c:ca:5e:09:2d,17,5
21551,2025-11-29 10:25:42,40:4c:ca:5e:09:2c,-60,null,35,5
21552,2025-11-29 10:26:49,40:4c:ca:5d:f3:b8,-77,40:4c:ca:5e:09:2d,18,5

21553,2025-11-29 14:30:42,40:4c:ca:5e:09:2c,-59,null,36,6
21554,2025-11-29 14:31:54,40:4c:ca:5d:f3:b8,-85,40:4c:ca:5e:09:2d,10,6
21555,2025-11-29 14:35:42,40:4c:ca:5e:09:2c,-53,null,42,6
21556,2025-11-29 14:36:54,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:09:2d,12,6
21557,2025-11-29 14:40:42,40:4c:ca:5e:09:2c,-56,null,39,6
21558,2025-11-29 14:41:54,40:4c:ca:5d:f3:b8,-87,40:4c:ca:5e:09:2d,8,6
21559,2025-11-29 14:45:42,40:4c:ca:5e:09:2c,-55,null,40,6
21560,2025-11-29 14:46:54,40:4c:ca:5d:f3:b8,-86,40:4c:ca:5e:09:2d,9,6
21561,2025-11-29 14:50:42,40:4c:ca:5e:09:2c,-57,null,38,6
21562,2025-11-29 14:51:54,40:4c:ca:5d:f3:b8,-86,40:4c:ca:5e:09:2d,9,6
21563,2025-11-29 14:55:42,40:4c:ca:5e:09:2c,-57,null,38,6
21564,2025-11-29 14:56:54,40:4c:ca:5d:f3:b8,-85,40:4c:ca:5e:09:2d,10,6

21565,2025-11-29 15:00:42,40:4c:ca:5e:09:2c,-57,null,38,7
21566,2025-11-29 15:01:54,40:4c:ca:5d:f3:b8,-87,40:4c:ca:5e:09:2d,8,7
21567,2025-11-29 15:05:42,40:4c:ca:5e:09:2c,-59,null,36,7
21568,2025-11-29 15:06:54,40:4c:ca:5d:f3:b8,-87,40:4c:ca:5e:09:2d,8,7
21569,2025-11-29 15:10:43,40:4c:ca:5e:09:2c,-54,null,41,7
21570,2025-11-29 15:11:54,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,7,7
21571,2025-11-29 15:15:43,40:4c:ca:5e:09:2c,-56,null,39,7
21572,2025-11-29 15:16:55,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,7,7
21573,2025-11-29 15:20:43,40:4c:ca:5e:09:2c,-54,null,41,7
21574,2025-11-29 15:21:54,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,7,7
21575,2025-11-29 15:25:43,40:4c:ca:5e:09:2c,-55,null,40,7
21576,2025-11-29 15:26:54,40:4c:ca:5d:f3:b8,-89,40:4c:ca:5e:09:2d,6,7
21577,2025-11-29 15:30:43,40:4c:ca:5e:09:2c,-57,null,38,7

21578,2025-11-29 15:31:54,40:4c:ca:5d:f3:b8,-85,40:4c:ca:5e:09:2d,10,8
21579,2025-11-29 15:35:43,40:4c:ca:5e:09:2c,-59,null,36,8
21580,2025-11-29 15:36:54,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:09:2d,11,8
21581,2025-11-29 15:40:43,40:4c:ca:5e:09:2c,-56,null,39,8
21582,2025-11-29 15:41:54,40:4c:ca:5d:f3:b8,-87,40:4c:ca:5e:09:2d,8,8
21583,2025-11-29 15:45:43,40:4c:ca:5e:09:2c,-55,null,40,8
21584,2025-11-29 15:46:56,40:4c:ca:5d:f3:b8,-86,40:4c:ca:5e:09:2d,9,8
21585,2025-11-29 15:56:54,40:4c:ca:5d:f3:b8,-77,null,18,8


21598,2025-11-29 16:24:44,40:4c:ca:5e:09:2c,-57,null,38,9
21599,2025-11-29 16:26:29,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:09:2d,11,9
21600,2025-11-29 16:29:44,40:4c:ca:5e:09:2c,-56,null,39,9
21601,2025-11-29 16:31:29,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:09:2d,11,9
21602,2025-11-29 16:34:44,40:4c:ca:5e:09:2c,-59,null,36,9
21603,2025-11-29 16:36:29,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:09:2d,11,9
21604,2025-11-29 16:39:44,40:4c:ca:5e:09:2c,-56,null,39,9
21605,2025-11-29 16:41:29,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:09:2d,12,9
21606,2025-11-29 16:44:44,40:4c:ca:5e:09:2c,-56,null,39,9
21607,2025-11-29 16:46:29,40:4c:ca:5d:f3:b8,-83,40:4c:ca:5e:09:2d,12,9
21608,2025-11-29 16:49:44,40:4c:ca:5e:09:2c,-59,null,36,9
21609,2025-11-29 16:51:29,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:09:2d,11,9
21610,2025-11-29 16:54:44,40:4c:ca:5e:09:2c,-59,null,36,9
21611,2025-11-29 16:56:29,40:4c:ca:5d:f3:b8,-84,40:4c:ca:5e:09:2d,11,9


21612,2025-11-29 16:54:44,40:4c:ca:5e:09:2c,-59,null,36,10
21613,2025-11-29 16:56:29,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,7,10
21614,2025-11-29 16:54:44,40:4c:ca:5e:09:2c,-59,null,36,10
21615,2025-11-29 16:56:29,40:4c:ca:5d:f3:b8,-87,40:4c:ca:5e:09:2d,8,10
21616,2025-11-29 16:54:44,40:4c:ca:5e:09:2c,-59,null,36,10
21617,2025-11-29 16:56:29,40:4c:ca:5d:f3:b8,-88,40:4c:ca:5e:09:2d,8,10
21618,2025-11-29 16:54:44,40:4c:ca:5e:09:2c,-61,null,34,10
21619,2025-11-29 16:56:29,40:4c:ca:5d:f3:b8,-89,40:4c:ca:5e:09:2d,6,10
21620,2025-11-29 16:54:44,40:4c:ca:5e:09:2c,-59,null,36,10
21621,2025-11-29 17:01:31,40:4c:ca:5d:f3:b8,-95,40:4c:ca:5e:09:2d,0,10
